,distance,width,movement_time
5055,160,6,928
3677,75,14,725
1095,120,14,729
4033,60,6,557
1145,160,14,765
1645,210,14,728
874,210,18,1016
809,160,14,986
5084,60,10,471
5010,120,6,791
3570,40,6,742
6007,120,8,1361
482,120,20,787
5960,160,20,765
2738,210,8,1203
5297,210,20,570
4342,120,6,1025
2307,120,8,1029
5743,40,8,394
1577,75,18,507
4926,210,6,776
4300,60,18,561
1557,120,10,640
3391,120,20,505
1359,60,14,519
2831,40,8,639
5482,60,6,613
6126,160,14,1352
4685,60,18,479
1033,75,8,768
1194,60,20,552
4010,75,14,562
5806,120,14,793
2479,40,10,499
4474,40,14,328
2253,75,18,391
511,40,18,729
4409,120,20,623
2044,160,18,743
1486,75,18,615
1988,160,8,1384
1603,60,10,602
4373,75,6,968
2764,75,8,850
1494,210,8,1040
4700,120,8,880
5740,40,8,455
4800,210,18,938
2427,75,14,642
2581,120,8,1048
3195,60,10,999
4978,210,20,887
5211,40,6,461
2923,160,18,709
4593,40,6,713
490,75,18,728
3650,40,18,528
5345,75,6,592
4577,210,8,1304
3365,60,14,511
679,40,8,814
1637,40,6,462
6071,75,18,522
3840,160,18,612
3765,75,10,584
6147,60,18,838
736,60,20,640
2245,75,18,514
114,160,20,672
4576,210,8,1106
4194,60,10,464
1431,210,10,825
558,160,6,1142
3124,120,10,848
3513,160,8,1079
6122,160,14,760
4957,160,14,594
4071,60,14,506
4456,160,6,986
5111,210,6,931
1606,60,10,662
1864,120,6,672
2699,60,6,912
5266,60,20,447
2224,75,10,710
5529,60,18,400
5639,60,20,368
4778,60,14,536
4146,40,14,514
3613,40,10,513
119,160,18,792
1146,160,14,1058
1574,75,18,448
5317,120,14,506
1594,210,8,773
5048,120,10,641
4933,60,20,393
2147,60,20,328
3748,160,14,720
5218,40,6,526
3067,210,20,881
5716,120,6,534
3431,75,8,760
5771,40,6,520
2628,75,8,608
5899,120,20,664
4537,120,18,696
5077,60,10,443
262,210,14,793
3370,60,14,561
5113,210,6,969
2676,210,6,930
886,120,6,1223
4725,40,10,646
2913,60,10,878
915,40,20,430
310,40,18,424
5696,40,20,246
2814,210,18,767
35,210,20,848
4214,75,18,384
3612,40,10,583
4498,160,8,713
2974,75,6,867
969,60,6,665
1816,120,8,579
318,60,8,656
5588,160,14,519
742,60,20,526
4091,75,8,424
810,160,14,1048
4101,60,18,415
4956,160,14,661
1269,75,10,562
3786,210,18,854
4045,210,8,793
4951,160,14,704
4084,210,20,614
4496,160,8,1050
3877,160,20,714
4568,160,18,728
4154,120,8,703
4622,40,10,440
1872,120,6,886
5605,40,14,330
1688,40,10,491
2208,60,10,490
1918,210,20,1624
3308,40,20,410
5549,120,8,609
1014,160,6,825
3179,40,10,733
1860,60,8,481
2528,160,6,981
5176,40,10,408
4990,40,6,598
5405,120,18,487
5094,160,10,711
2690,75,10,616
1017,160,6,1031
1361,210,6,1262
4477,40,14,357
4748,120,14,743
2229,40,10,358
1663,75,14,567
2508,40,14,472
5102,60,8,536
5709,210,18,558
1220,120,8,669
2933,40,18,466
5509,210,20,593
3175,40,10,345
5319,120,14,423
1987,160,8,909
522,210,20,722
4882,120,6,1032
5000,40,6,639
2527,160,6,984
6120,160,14,745
81,120,6,1048
2846,60,6,737
3555,210,10,1172
1213,60,18,488
5930,60,8,601
5306,210,14,632
4345,120,6,888
1623,160,20,786
4144,40,14,390
2234,40,10,450
2961,40,14,512
2967,60,8,575
1764,60,14,462
6075,75,18,512
5907,210,14,968
3936,75,6,624
4566,160,18,890
3658,210,6,1288
2760,160,14,865
4940,40,20,475
4253,60,8,688
3074,210,20,879
3068,210,20,928
3634,120,18,865
11,75,14,672
3749,160,14,821
4965,210,10,729
477,120,20,760
5785,60,8,528
2672,210,6,1210
5670,210,6,792
6057,210,6,1721
247,160,6,886
3661,210,6,1233
5798,120,14,620
2781,210,14,1426
2897,60,20,657
3827,120,10,1046
305,40,18,441
1886,210,10,719
713,40,10,840
6065,75,20,551
